"name","group","party","birth_date","birth_place","link_email","link_twitt","link_fb","link_instagram","link_linkedin","link_website","link_youtube","link_telegram","link_blog","link_europeanblog"
"Elisabetta Gualmini","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)",NA,NA,"ue[dot]aporue.lraporue[at]inimlaug.attebasile","https://x.com/gualminielisa",NA,"https://www.instagram.com/gualminielisa/",NA,NA,NA,NA,NA,NA
"Cristina Guarda","Group of the Greens/European Free Alliance","Italy
						 
							 - Europa Verde - Verdi (Italy)","1990-03-03","Cologna Veneta","ue[dot]aporue.lraporue[at]adraug.anitsirc",NA,"https://www.facebook.com/guarda.cristina/?locale=de_DE","https://www.instagram.com/cristina_guarda/?locale=de-DE","https://www.linkedin.com/in/cristina-guarda-112974108/?originalSubdomain=it","https://www.cristinaguarda.it/","https://www.youtube.com/channel/UC5TjLQie6abUVBg9ZnWKoAQ",NA,NA,NA
"Bernard Guetta","Renew Europe Group","France
						 
							 - Sans parti (France)","1951-01-28","Boulogne-Billancourt","ue[dot]aporue.lraporue[at]atteug.dranreb","https://twitter.com/guetta_en",NA,NA,NA,"http://www.bernard-guetta.eu",NA,NA,NA,NA
"Maria Guzenina","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Finland
						 
							 - Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti (Finland)","1969-01-12","Helsinki","ue[dot]aporue.lraporue[at]aninezug.airam","https://x.com/guzenina","https://www.facebook.com/guzeninamaria/","https://www.instagram.com/maria_guzenina/",NA,"https://mariaguzenina.fi/",NA,NA,NA,NA
"Enikő Győri","Patriots for Europe Group","Hungary
						 
							 - Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt (Hungary)","1968-07-17","Budapest","ue[dot]aporue.lraporue[at]iroyg.okine","https://twitter.com/GyoriEniko","https://www.facebook.com/GyoriEnikoEP/",NA,NA,"https://gyori.fidesz-eu.hu/hu/",NA,NA,NA,NA
"András Gyürk","Patriots for Europe Group","Hungary
						 
							 - Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt (Hungary)","1972-12-02","Budapest","ue[dot]aporue.lraporue[at]kruyg.sardna",NA,NA,NA,NA,"https://gyurkandras.hu/hu/",NA,NA,NA,NA
"Michalis Hadjipantela","Group of the European People's Party (Christian Democrats)","Cyprus
						 
							 - Democratic Rally (Cyprus)",NA,NA,"ue[dot]aporue.lraporue[at]aletnapijdah.leahcim","https://x.com/hadjipantela","https://www.facebook.com/HadjipantelaMichalis/","https://www.instagram.com/michalish1/","https://www.linkedin.com/in/michael-hadjipantela-a8b84415/?originalSubdomain=cy","https://www.hadjipantela.com/el/",NA,NA,NA,NA
"Svenja Hahn","Renew Europe Group","Germany
						 
							 - Freie Demokratische Partei (Germany)","1989-07-25","Hamburg","ue[dot]aporue.lraporue[at]nhah.ajnevs","https://twitter.com/svenja_hahn","https://www.facebook.com/svenjahahnfdp/","https://www.instagram.com/svenja_ilona_hahn","https://www.linkedin.com/in/svenja-hahn-a87034a4/","http://svenjahahn.eu",NA,NA,NA,NA
"Roman Haider","Patriots for Europe Group","Austria
						 
							 - Freiheitliche Partei Österreichs (Austria)","1967-04-13","Grieskirchen","ue[dot]aporue.lraporue[at]rediah.namor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrzej Halicki","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Platforma Obywatelska (Poland)","1961-11-26","Warszawa","ue[dot]aporue.lraporue[at]ikcilah.jezrdna","https://twitter.com/AndrzejHalicki","https://www.facebook.com/halickipl/","https://www.instagram.com/andrzej_halicki/",NA,"https://halicki.pl/",NA,NA,NA,NA
"Niels Flemming Hansen","Group of the European People's Party (Christian Democrats)","Denmark
						 
							 - Det Konservative Folkeparti (Denmark)","1974-05-16","Vejle","ue[dot]aporue.lraporue[at]nesnah.slein","https://x.com/nielsflemming01",NA,"https://www.instagram.com/nielsflemming_kons/",NA,NA,NA,NA,NA,NA
"Rima Hassan","The Left group in the European Parliament - GUE/NGL","France
						 
							 - La France Insoumise (France)","1992-04-28","Alep","ue[dot]aporue.lraporue[at]nassah.amir","https://x.com/rimahas",NA,"https://www.instagram.com/rimamobarak/",NA,NA,NA,NA,NA,NA
"Gerald Hauser","Patriots for Europe Group","Austria
						 
							 - Freiheitliche Partei Österreichs (Austria)","1961-09-30","St. Jakob im Defereqqental","ue[dot]aporue.lraporue[at]resuah.dlareg",NA,"https://www.facebook.com/gerald.hauser.1829/","https://www.instagram.com/fpoe_gerald.hauser/",NA,NA,"https://www.youtube.com/@GeraldHauser_fpoe","https://t.me/GeraldHauser/2432",NA,NA
"Martin Häusling","Group of the Greens/European Free Alliance","Germany
						 
							 - Bündnis 90/Die Grünen (Germany)","1961-03-26","Bad Wildungen","ue[dot]aporue.lraporue[at]gnilsueah.nitram","https://twitter.com/MartinHaeusling","https://www.facebook.com/martin.hausling","https://www.instagram.com/martin_haeusling/",NA,"http://www.martin-haeusling.eu/","https://www.youtube.com/channel/UC8o0uJ0Xd2w1kfHjUHezfeg",NA,NA,NA
"Mircea-Gheorghe Hava","Group of the European People's Party (Christian Democrats)","Romania
						 
							 - Partidul Naţional Liberal (Romania)","1956-12-26","Oradea","ue[dot]aporue.lraporue[at]avah.aecrim","https://x.com/MirceaHava","https://www.facebook.com/mirceahava/",NA,NA,NA,NA,NA,NA,NA
"Valérie Hayer","Renew Europe Group","France
						 
							 - Renaissance (France)","1986-04-06",NA,"ue[dot]aporue.lraporue[at]reyah.eirelav","https://twitter.com/valeriehayer","https://www.facebook.com/ValerieHayerMEP/","https://www.instagram.com/valeriehayer/?hl=de","https://www.linkedin.com/in/valeriehayer/?originalSubdomain=fr","https://valeriehayer.eu/",NA,NA,NA,NA
"Anja Hazekamp","The Left group in the European Parliament - GUE/NGL","Netherlands
						 
							 - Partij voor de Dieren (Netherlands)","1968-01-21","Vlagtwedde","ue[dot]aporue.lraporue[at]pmakezah.ajna","https://twitter.com/anjahazekamp","https://www.facebook.com/anja.hazekamp","https://www.instagram.com/anja_hazekamp/",NA,"https://europa.partijvoordedieren.nl","https://www.youtube.com/user/PartijvoordeDieren",NA,NA,NA
"Hannes Heide","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Austria
						 
							 - Sozialdemokratische Partei Österreichs (Austria)","1966-10-17","Bad Ischl","ue[dot]aporue.lraporue[at]edieh.sennah","https://twitter.com/HannesHeide","https://www.facebook.com/hannesheide.eu","https://www.instagram.com/hannes_heide/",NA,NA,NA,NA,NA,NA
"Eero Heinäluoma","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Finland
						 
							 - Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti (Finland)","1955-07-04","Kokkola","ue[dot]aporue.lraporue[at]amoulanieh.oree",NA,"https://www.facebook.com/heinaluoma",NA,NA,"http://www.eeroheinaluoma.fi",NA,NA,NA,NA
"Anna-Maja Henriksson","Renew Europe Group","Finland
						 
							 - Svenska folkpartiet (Finland)","1964-01-07","Jakobstad","ue[dot]aporue.lraporue[at]nosskirneh.ajam-anna","https://x.com/anna_maja","https://www.facebook.com/annamajahenriksson","https://www.instagram.com/annamajah",NA,"https://www.anna-maja.fi",NA,NA,NA,NA
"Niclas Herbst","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1973-02-28","Ratzeburg","ue[dot]aporue.lraporue[at]tsbreh.salcin","https://x.com/NiclasHerbst","https://www.facebook.com/niclas.herbst.eu","https://www.instagram.com/niclasherbst/",NA,NA,NA,NA,NA,NA
"Esther Herranz García","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1969-07-03","Logroño","ue[dot]aporue.lraporue[at]aicragznarreh.rehtse","https://x.com/herranzgarcia1",NA,"https://www.instagram.com/herranzgarcia",NA,NA,NA,NA,NA,NA
"Krzysztof Hetman","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Polskie Stronnictwo Ludowe (Poland)",NA,NA,"ue[dot]aporue.lraporue[at]namteh.fotzsyzrk","https://x.com/Hetman_K",NA,NA,NA,NA,NA,NA,NA,NA
"Monika Hohlmeier","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich-Soziale Union in Bayern e.V. (Germany)","1962-07-02","München","ue[dot]aporue.lraporue[at]reiemlhoh.akinom","https://twitter.com/mhohlmeier","https://www.facebook.com/mhohlmeier/","https://www.instagram.com/monika.hohlmeier/",NA,"http://www.monika.hohlmeier.de/",NA,NA,NA,NA
"Martin Hojsík","Renew Europe Group","Slovakia
						 
							 - Progresívne Slovensko (Slovakia)","1977-01-27","Bratislava","ue[dot]aporue.lraporue[at]kisjoh.nitram","https://twitter.com/martinhojsik","https://www.facebook.com/martinhojsik/","https://www.instagram.com/martinhojsik/",NA,NA,NA,NA,NA,NA
"Pär Holmgren","Group of the Greens/European Free Alliance","Sweden
						 
							 - Miljöpartiet de gröna (Sweden)","1964-10-24","Gävle","ue[dot]aporue.lraporue[at]nergmloh.rap","https://twitter.com/parholmgren","https://www.facebook.com/parholmgrenmp",NA,NA,NA,NA,NA,NA,NA
"György Hölvényi","Patriots for Europe Group","Hungary
						 
							 - Kereszténydemokrata Néppárt (Hungary)",NA,NA,"ue[dot]aporue.lraporue[at]iynevloh.ygroyg","https://twitter.com/HolvenyiGyorgy","https://www.facebook.com/Holvenyi",NA,NA,"https://holvenyigyorgy.hu/en/",NA,NA,NA,NA
"Alicia Homs Ginel","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)","1993-10-15","Palma de Mallorca","ue[dot]aporue.lraporue[at]smoh.aicila","https://www.x.com/aliciahoms","https://www.facebook.com/aliciahomsginel","https://www.instagram.com/aliciahoms",NA,NA,NA,NA,NA,NA
"Sérgio Humberto","Group of the European People's Party (Christian Democrats)","Portugal
						 
							 - Aliança Democrática (Portugal)","1975-11-07","Trofa","ue[dot]aporue.lraporue[at]otrebmuh.oigres","https://x.com/SergioHumberto_",NA,"https://www.instagram.com/sergiohumbertooficial/",NA,NA,NA,NA,NA,NA
"Ivars Ijabs","Renew Europe Group","Latvia
						 
							 - Latvijas attīstībai (Latvia)","1972-11-17","Riga","ue[dot]aporue.lraporue[at]sbaji.sravi","https://twitter.com/ijabs","https://www.facebook.com/ijabs.ivars/",NA,NA,NA,NA,NA,NA,NA
"Céline Imart","Group of the European People's Party (Christian Democrats)","France
						 
							 - Les Républicains (France)",NA,NA,"ue[dot]aporue.lraporue[at]trami.enilec","https://twitter.com/CelineImart",NA,"https://www.instagram.com/celine_imart?igsh=dGxhZTl6OWFxZXph&utm_source=qr",NA,NA,NA,NA,NA,NA
"Evin Incir","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Sweden
						 
							 - Arbetarepartiet- Socialdemokraterna (Sweden)","1984-06-15","Diyarbakir","ue[dot]aporue.lraporue[at]ricni.nive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paolo Inselvini","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1994-10-05","Brescia","ue[dot]aporue.lraporue[at]inivlesni.oloap",NA,"https://www.facebook.com/paoloinse","https://www.instagram.com/paoloinselvini_/",NA,NA,NA,NA,NA,NA
"Diana Iovanovici Şoşoacă","Non-attached Members","Romania
						 
							 - S.O.S. România (Romania)","1975-11-13","Bucharest","ue[dot]aporue.lraporue[at]acaososicivonavoi.anaid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patryk Jaki","European Conservatives and Reformists Group","Poland
						 
							 - Solidarna Polska Zbigniewa Ziobro (Poland)","1985-05-11","Opole","ue[dot]aporue.lraporue[at]ikaj.zsamotkyrtap",NA,NA,NA,NA,"https://www.jaki.pl",NA,NA,NA,NA
"Hana Jalloul Muro","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)","1978-04-08","Zaragoza","ue[dot]aporue.lraporue[at]orumluollaj.anah","https://www.twitter.com/jalloul_hana",NA,NA,NA,NA,NA,NA,NA,NA
"France Jamet","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1961-02-05","Paris","ue[dot]aporue.lraporue[at]temaj.ecnarf","https://twitter.com/francejamet","https://www.facebook.com/JametFrance/",NA,NA,"https://francejamet.com/",NA,NA,NA,NA
"Adam Jarubas","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Polskie Stronnictwo Ludowe (Poland)","1974-12-17","Busko-Zdroj","ue[dot]aporue.lraporue[at]saburaj.mada","https://twitter.com/JarubasAdam","https://www.facebook.com/JarubasAdam/","https://www.instagram.com/jarubasadam/",NA,"https://jarubasadam.pl/",NA,NA,NA,NA
"Romana Jerković","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Croatia
						 
							 - Socijaldemokratska partija Hrvatske (Croatia)","1964-11-28","Split","ue[dot]aporue.lraporue[at]civokrej.anamor","https://twitter.com/JerkovicRomana","https://www.facebook.com/JerkovicRomana","https://www.instagram.com/romanajerkovicmep/",NA,NA,NA,NA,NA,NA
"Marc Jongen","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)","1968-05-23","Merano","ue[dot]aporue.lraporue[at]negnoj.cram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dariusz Joński","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Inicjatywa Polska (Poland)","1979-01-12","Łódź","ue[dot]aporue.lraporue[at]iksnoj.zsuirad","https://x.com/dariusz_jonski","https://www.facebook.com/dariusz.jonski.7/?locale=pl_PL","https://www.instagram.com/dariuszjonski/",NA,"https://dariuszjonski.eu",NA,NA,NA,NA
"Virginie Joron","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1973-12-11","Troyes","ue[dot]aporue.lraporue[at]noroj.einigriv","https://twitter.com/v_joron","https://www.facebook.com/virginie.joron67",NA,NA,NA,"https://youtube.com/@virginiejoron8888?si=S8Bw5lQhyfUyP0Jh",NA,NA,NA
"Pierre Jouvet","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","France
						 
							 - Parti socialiste (France)","1986-10-06","Valence","ue[dot]aporue.lraporue[at]tevuoj.erreip","https://x.com/pjouvet?s=21&t=Gy7xUQxAP_x21_0RujG9BQ","https://www.facebook.com/PJouvet","https://www.instagram.com/pierre_jouvet?igsh=MXA0ZjNqYWUzN2dkdg==&utm_source=qr",NA,NA,NA,NA,NA,NA
"Irena Joveva","Renew Europe Group","Slovenia
						 
							 - Gibanje Svoboda (Slovenia)","1989-02-26","Kranj","ue[dot]aporue.lraporue[at]avevoj.aneri","https://twitter.com/ijoveva","https://www.facebook.com/ijoveva/","https://www.instagram.com/ijoveva/",NA,"https://www.irenajoveva.si/",NA,NA,NA,NA
"Rasa Juknevičienė","Group of the European People's Party (Christian Democrats)","Lithuania
						 
							 - Tėvynės sąjunga-Lietuvos krikščionys demokratai (Lithuania)","1958-01-26","Panevėžys","ue[dot]aporue.lraporue[at]eneicivenkuj.asar","https://twitter.com/RJukneviciene","https://www.facebook.com/rasa.jukneviciene","https://www.instagram.com/rasa_jukneviciene/",NA,"https://elpnariai.lt/",NA,NA,NA,NA
"Nora Junco García","Non-attached Members","Spain
						 
							 - Se Acabó la Fiesta (Spain)",NA,NA,"ue[dot]aporue.lraporue[at]aicragocnuj.aron",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexander Jungbluth","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)","1987-02-07","WUERSELEN","ue[dot]aporue.lraporue[at]htulbgnuj.rednaxela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taner Kabilov","Renew Europe Group","Bulgaria
						 
							 - Movement for Rights and Freedoms (Bulgaria)","1987-04-28","Plovdiv","ue[dot]aporue.lraporue[at]volibak.renat",NA,NA,NA,NA,NA,NA,NA,NA,NA
"François Kalfon","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","France
						 
							 - Parti socialiste (France)","1968-06-11","Sarcelles","ue[dot]aporue.lraporue[at]noflak.siocnarf","https://x.com/francoiskalfon",NA,"https://www.instagram.com/francoiskalfon/","https://fr.linkedin.com/in/fran%C3%A7ois-kalfon-85294a23","https://www.francoiskalfon.fr/","https://www.youtube.com/@FrancoisKalfonMEP",NA,NA,NA
"Erik Kaliňák","Non-attached Members","Slovakia
						 
							 - SMER-Sociálna demokracia (Slovakia)","1991-09-09","Bratislava","ue[dot]aporue.lraporue[at]kanilak.kire",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marina Kaljurand","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Estonia
						 
							 - Sotsiaaldemokraatlik Erakond (Estonia)","1962-09-06","Tallinn","ue[dot]aporue.lraporue[at]dnarujlak.aniram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sandra Kalniete","Group of the European People's Party (Christian Democrats)","Latvia
						 
							 - Jaunā Vienotība (Latvia)","1952-12-22",NA,"ue[dot]aporue.lraporue[at]eteinlak.ardnas","https://twitter.com/kalniete","https://www.facebook.com/kalniete.sandra/","https://www.instagram.com/sandrakalnietelv/",NA,NA,NA,NA,NA,NA
"Mariusz Kamiński","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)","1965-09-25","Sochaczew","ue[dot]aporue.lraporue[at]iksnimak.zsuiram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Radan Kanev","Group of the European People's Party (Christian Democrats)","Bulgaria
						 
							 - Democrats for Strong Bulgaria (Bulgaria)","1975-09-30","Sofia","ue[dot]aporue.lraporue[at]venak.nadar","https://twitter.com/rmkanev","https://www.facebook.com/radan.kanev","https://www.instagram.com/rmkanev/",NA,NA,NA,NA,NA,NA
"Assita Kanko","European Conservatives and Reformists Group","Belgium
						 
							 - Nieuw-Vlaamse Alliantie (Belgium)","1980-07-14","Godyr","ue[dot]aporue.lraporue[at]oknak.atissa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karin Karlsbro","Renew Europe Group","Sweden
						 
							 - Liberalerna (Sweden)","1970-09-23","Roslags-Bro","ue[dot]aporue.lraporue[at]orbslrak.nirak","https://twitter.com/KarinKarlsbro","https://www.facebook.com/karlsbroliberal/","https://www.instagram.com/karlsbroliberalerna",NA,"https://karinkarlsbro.eu/",NA,NA,NA,NA
"Fernand Kartheiser","European Conservatives and Reformists Group","Luxembourg
						 
							 - Alternativ Demokratesch Reformpartei (Luxembourg)","1959-09-30","Luxembourg","ue[dot]aporue.lraporue[at]resiehtrak.dnanref",NA,"https://www.facebook.com/FernandKartheiser/?locale=de_DE",NA,NA,NA,NA,NA,NA,NA
"Ľubica Karvašová","Renew Europe Group","Slovakia
						 
							 - Progresívne Slovensko (Slovakia)",NA,NA,"ue[dot]aporue.lraporue[at]avosavrak.acibul","https://twitter.com/lubicakarvasova?s=11","https://www.facebook.com/karvasovalubica","https://www.instagram.com/lubicakarvasova/","https://www.linkedin.com/in/lubica-karvasova/","https://progresivne.sk/kandidatka/lubica-karvasova/?europoslanec",NA,NA,NA,NA
